"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConstraintRuleId__c","ActionCriteria__c","ActionDisposition__c","ActionIntent__c","ActionType__c","AutoExclude__c","AutoInclude__c","IncludeMatchRule__c","IncludeMaxProducts__c","IncludeMinProducts__c","MatchInAsset__c","MatchInCartOptions__c","MatchInOptions__c","MatchInPrimaryLines__c","Message__c","ProductCategory__c","ProductFamily__c","ProductGroupId__c","ProductId__c","ProductScope__c","Sequence__c"
"a0GE0000003apSnMAI","0","Select 10kW","2012-08-29 18:42:42","005E0000001em2EIAQ","2012-08-30 18:39:35","005E0000001em2EIAQ","2012-08-30 18:39:35","a0IE0000002Gnt7MAC","","Error","Auto Include","Inclusion","0","0","","","","0","0","0","1","{0} requires {1}","","","","01tE0000001IQYOIA4","Product",""
"a0GE0000003apZFMAY","0","100kW auto added","2012-08-29 21:01:26","005E0000001em2EIAQ","2012-12-17 18:39:33","005E0000001em2EIAQ","2012-12-17 18:39:33","a0IE0000002Go6qMAC","","Error","Auto Include","Inclusion","0","0","","","","0","0","0","1","{0} auto adds {1}","","","","01tE0000001IQYTIA4","Product","1"
"a0GE0000003autVMAQ","0","1500kW","2012-08-30 18:38:31","005E0000001em2EIAQ","2013-02-10 20:02:44","005E0000001em2EIAQ","2013-02-10 20:02:44","a0IE0000002GrDoMAK","","Error","Auto Include","Inclusion","0","0","Include Any","","","0","0","0","1","{0} requires {1}","","","","01tE0000001IQYUIA4","Product","1"
"a0GE0000003axB5MAI","0","Select Many","2012-08-31 09:13:34","005E0000001em2EIAQ","2012-11-07 21:36:15","005E0000001em2EIAQ","2012-11-07 21:36:15","a0IE0000002GtByMAK","","Error","Auto Include","Inclusion","0","0","Include All","","","0","0","0","1","Select All of {0}","","","a0mE0000000UMtGIAW","","Product Group",""
"a0GE00000044HZBMA2","0","1000 kW","2012-09-04 23:02:50","005E0000001em2EIAQ","2012-09-04 23:02:50","005E0000001em2EIAQ","2012-09-04 23:02:50","a0IE0000002H00JMAS","","Error","Auto Include","Inclusion","0","0","","","","0","0","0","1","{0} auto adds {1}","","","","01tE0000001IQYVIA4","Product","1"
"a0GE00000044HaIMAU","0","Option 100","2012-09-05 00:02:41","005E0000001em2EIAQ","2012-09-06 19:29:43","005E0000001em2EIAQ","2012-09-06 19:29:43","a0IE0000002H0NmMAK","","Error","Auto Include","Inclusion","0","0","Include Any","","","0","0","1","0","{0} auto adds {1}","","","","01tE0000001IQYTIA4","Product",""
"a0GE000000452cWMAQ","0","Propane Group","2012-09-05 18:01:44","005E0000001em2EIAQ","2012-09-05 21:03:42","005E0000001em2EIAQ","2012-09-05 21:03:42","a0IE0000002H4x5MAC","","Error","Prompt","Inclusion","0","0","Include All","","","0","0","0","1","{0} requires {1}","","","","01tE0000001IQYUIA4","Product","1"
"a0GE000000452kjMAA","0","750 kW","2012-09-05 20:04:37","005E0000001em2EIAQ","2012-09-24 23:30:03","005E0000001em2EIAQ","2012-09-24 23:30:03","a0IE0000002H59QMAS","","Error","Prompt","Exclusion","0","0","Exclude After Max","","1","0","0","1","0","{0} excludes {1}","","","","01tE0000001IQYXIA4","Product","1"
"a0GE000000452rlMAA","0","SLA: Bronze","2012-09-05 20:58:51","005E0000001em2EIAQ","2012-09-05 21:01:21","005E0000001em2EIAQ","2012-09-05 21:01:21","a0IE0000002H4x5MAC","","Error","Prompt","Exclusion","0","0","","","","0","0","0","1","{0} excludes {1}","","","","01tE0000001IQYWIA4","Product",""
"a0GE00000045BMCMA2","0","1500kW","2012-09-07 04:19:05","005E0000001em2EIAQ","2012-09-07 04:19:05","005E0000001em2EIAQ","2012-09-07 04:19:05","a0IE0000002HLU1MAO","","Error","Auto Include","Inclusion","0","0","","","","0","0","0","1","{0} auto adds {1}","","","","01tE0000001IQYUIA4","Product",""
