"Id","IsDeleted","AccountId","IsPrivate","Name","Description","StageName","StageSortOrder","Amount","Probability","ExpectedRevenue","TotalOpportunityQuantity","CloseDate","Type","NextStep","LeadSource","IsClosed","IsWon","ForecastCategory","ForecastCategoryName","CampaignId","HasOpportunityLineItem","Pricebook2Id","OwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastStageChangeDate","FiscalYear","FiscalQuarter","PrimaryPartnerAccountId","DeliveryInstallationStatus__c","TrackingNumber__c","OrderNumber__c","CurrentGenerators__c","MainCompetitors__c"
"006E0000005336pIAA","0","001E000000M4pZFIAZ","0","Test PB","","Prospecting","1","1840000","10","184000","34","2013-09-13 00:00:00","","","","0","0","Pipeline","Pipeline","000000000000000AAA","1","01sE0000000K9otIAC","005E0000001em2EIAQ","2012-09-14 23:30:10","005E0000001em2EIAQ","2012-09-14 23:31:43","005E0000001em2EIAQ","2012-09-14 23:31:43","","","2013","3","","","","","",""
"006E0000005Qy0gIAC","0","001E000000M4pZHIAZ","0","Dickenson Mobile Generators","","Qualification","2","15000","10","1500","","2010-08-07 00:00:00","New Customer","","Purchased List","0","0","Pipeline","Pipeline","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","","","","","Honda"
"006E0000005Qy0hIAC","0","001E000000M4pZLIAZ","0","United Oil Office Portable Generators","","Negotiation/Review","8","125000","90","112500","","2010-08-07 00:00:00","Existing Customer - Upgrade","","","0","0","Pipeline","Pipeline","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","","","","Yamaha","Yamaha"
"006E0000005Qy0iIAC","0","001E000000M4pZJIAZ","0","Express Logistics Standby Generator","","Closed Won","9","220000","100","220000","","2010-08-07 00:00:00","New Customer","","Trade Show","1","1","Closed","Closed","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","","830150301420","653276","Hawkpower","Fujitsu"
"006E0000005Qy0jIAC","0","001E000000M4pZBIAZ","0","GenePoint Standby Generator","","Closed Won","9","85000","100","85000","","2010-08-07 00:00:00","New Customer","","Partner","1","1","Closed","Closed","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","Completed","830150301420","908676","Honda","Honda"
"006E0000005Qy0kIAC","0","001E000000M4pZIIAZ","0","Grand Hotels Kitchen Generator","","Id. Decision Makers","5","15000","60","9000","","2010-08-07 00:00:00","Existing Customer - Upgrade","","","0","0","Pipeline","Pipeline","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","Yet to begin","","","John Deere","Fujitsu, Hawkpower"
"006E0000005Qy0lIAC","0","001E000000M4pZLIAZ","0","United Oil Refinery Generators","","Proposal/Price Quote","7","270000","75","202500","","2010-08-07 00:00:00","Existing Customer - Upgrade","","","0","0","Pipeline","Pipeline","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","Yet to begin","","","Caterpillar","John Deere"
"006E0000005Qy0mIAC","0","001E000000M4pZLIAZ","0","United Oil SLA","","Closed Won","9","120000","100","120000","","2010-08-07 00:00:00","Existing Customer - Upgrade","","Partner","1","1","Closed","Closed","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","In progress","","926363","",""
"006E0000005Qy0nIAC","0","001E000000M4pZIIAZ","0","Grand Hotels Guest Portable Generators","","Value Proposition","4","250000","50","125000","","2010-08-07 00:00:00","Existing Customer - Upgrade","","Employee Referral","0","0","Pipeline","Pipeline","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","Yet to begin","","","Honda","Honda"
"006E0000005Qy0oIAC","0","001E000000M4pZEIAZ","0","Edge Emergency Generator","","Closed Won","9","75000","100","75000","","2010-08-07 00:00:00","New Customer","","Word of mouth","1","1","Closed","Closed","000000000000000AAA","","","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","005E0000001eioKIAQ","2012-08-27 03:20:21","","","2007","3","","Completed","830150301420","731645","John Deere","John Deere"
